"Gene"
"CYB5B"
"PCOLCE2"
"GPR116"
"TINAGL1"
"EPB41L5"
"LOC349136"
"suid=1407054"
"ANGPTL2"
"PDLIM1"
"ANKRD35"
"TIAM2"
"ANGPTL7"
"APPBP2"
"ST6GALNAC3"
"ATP2B4"
"GSPT2"
"EGR1"
"C6orf60"
"CALM1"
"ASAM"
"MKLN1"
"CIRBP"
"MOSC1"
"ADH1C"
"PCDHGC3"
"GPHN"
"PPM1F"
"SPG20"
"suid=1583505"
"Ells1"
"KIAA0240"
"POU6F1"
"NGFR"
"RIMS3"
"FBXO9"
"OR2A1"
"SPATA18"
"RAB11FIP2"
"ABCA9"
"MYH11"
"RAB3C"
"FLJ37478"
"VEGFC"
"CUGBP2"
"EST_AA235343"
"DARC"
"FLJ45187"
"Gcom1"
"EDA2R"
"SH3BGRL2"
"SVIL"
"suid=1437426"
"ASCC3L1"
"PRPF4B"
"ADAMTSL3"
"suid=1408958"
"JPH2"
"CCDC107"
"NMT2"
"PIGR"
"F8"
"CXCL12"
""
"MJ-500-54_379_REVCOMP"
"DAB2IP"
"SRPX"
"ZNF436"
"GREM2"
"AMY2A"
"RP11-125A7.3"
"CAT"
"ITM2A"
"C14orf44"
"ABHD13"
"SCGN"
"FOXN3"
"TBX3"
"DRD3"
"ARID5B"
"PTHLH"
"DYNLRB2"
"CASZ1"
"AMPH"
"TNS1"
"BDH2"
"LEPR"
"SYTL4"
"CREBL2"
"WDFY3"
"MGC48915"
"DSCR1L1"
"ZNF521"
"VLDLR"
"NAALAD2"
"METTL7A"
"MEIS1"
"PLTP"
"PRKD1"
"BACH2"
"ABLIM3"
"RBED1"
"DYNC1LI2"
"LOC284454"
"C1orf95"
"FLJ12056"
"TGM4"
"DYNC2H1"
"CNR1"
"PER2"
"PALM2-AKAP2"
"GIMAP8"
"CD200"
"ACSS2"
"EDG1"
"CYP26B1"
"C6"
"DJ122O8.2"
"LRRFIP1"
"NRP1"
"CALCOCO2"
"GDPD5"
"JUND"
"LOC257396"
"LOC344595"
"FLJ30707"
"ESD"
"IGJ"
"DACT2"
"FBXO17"
"LOC149351"
"LOC342865"
"MRC1"
"ANKRD15"
"ROPN1"
"MRAP"
"C21orf63"
"LIFR"
"COL15A1"
"LOH11CR2A"
"AK3"
"RND3"
"VILL"
"NRBP2"
"TUBB6"
"MT1JP"
"SHANK3"
"SPRY2"
"PPAP2A"
"LOC283666"
"suid=1403208"
"suid=1439423"
"CHRM3"
"SOX7"
"NDRG4"
"LOC339804"
"FGF1"
"CXorf36"
"RPGR"
"suid=1438500"
"HBG2"
"NISCH"
"CALML3"
"GSN"
"GPC3"
"NOTCH4"
"DPT"
"ZNF219"
"ZFP37"
"GAS7"
"OLFML1"
"TRIM9"
"ECHDC3"
"CX3CL1"
"AKAP7"
"ADAMTS9"
"KLF2"
"OSBPL1A"
"GSTA1"
"ADH1A"
"FOSB"
"HPGD"
"ARHGAP10"
"SIGLEC1"
"GALNTL2"
"KCNJ16"
"KLF13"
"PCDHB14"
"AGTR1"
"AK5"
"STAT5B"
"FGF13"
"LOC389033"
"suid=1402364"
"FEZ1"
"CHN2"
"LOC124491"
"VMD2"
"SSBP2"
"MGC33926"
"SPATA7"
"DKFZp761O2018"
"suid=1434457"
"B3GNT6"
"CEBPA"
"SHC2"
"P2RY12"
"HRASLS5"
"ZNF187"
"LOC387911"
"FAM59A"
"GAS1"
"C20orf12"
"GLI1"
"MYLK"
"RPL3"
"PTPRB"
"KLF4"
"DENND2A"
"C1orf21"
"PTCHD1"
"TRIM23"
"CTDSP1"
"ADAMTS7"
"LONRF1"
"PPL"
"EST_AA252511"
"KIAA0789"
"AQP1"
"SPTBN1"
"RASD1"
"ARHGEF9"
"LETMD1"
"FGF7"
"GAS5"
"ACVRL1"
"LOC285141"
"IPO11"
"LAMA2"
"DOCK11"
"FRAT1"
"ADRBK2"
"DUSP1"
"IL17D"
"TCEAL7"
"ANK2"
"DMRT3"
"GPD1"
"MYL9"
"GRRP1"
"PALMD"
"SDC2"
"IER2"
"ATP9A"
"ZNF204"
"suid=1421988"
"TNFRSF8"
"SNCAIP"
"ODZ2"
"HBD"
"CACHD1"
"LOC387763"
"CCNG1"
"RBL2"
"NTN4"
"QKI"
"NR1D2"
"TNFRSF10D"
"VPS24"
"KRT14"
"ARID5A"
"C17orf39"
"LAMC1"
"ANGPTL4"
"DNMBP"
"GREB1"
"ASTN1"
"suid=1462650"
"ARMCX1"
"RBP7"
"EST_AI018034"
"HTR2A"
"MEOX1"
"WBSCR19"
"RYR3"
"NR3C1"
"MXI1"
"DIO3"
"PHYHD1"
"HBA2"
"FLJ14834"
"PPAPDC3"
"AUH"
"WDR20"
"THRSP"
"suid=1428334"
"PRKAR2B"
"LOC158376"
"INPP5A"
"ARHGEF10"
"TLOC1"
"CXCL14"
"FXYD1"
"GPAM"
"GRAMD3"
"FAM89A"
"C20orf50"
"SASH1"
"CG018"
"CITED2"
"FZD7"
"FLJ25084"
"SBDS"
"FLJ90166"
"TPM2"
"LOC90110"
"PHF17"
"ETS2"
"CIDEA"
"AMIGO1"
"FLJ10038"
"ARNT"
"KLHL4"
"ABCB1"
"MCAM"
"C10orf33"
"TMEM16F"
"PHC2"
"SYNPO2"
"CXCL3"
"ZHX3"
"IQSEC1"
"BTG1"
"OGN"
"UNC119B"
"EST_AA975538"
"ZNF510"
"suid=1410835"
"MAF"
"ZNF594"
"ID4"
"suid=1420660"
"DLL4"
"DTNA"
"suid=1434293"
"CASQ2"
"CAPN6"
"TXNDC10"
"MGC17330"
"C1QTNF9"
"FRMD4B"
"LEPREL1"
"FYCO1"
"suid=1404778"
"TTC23"
"PLEKHG5"
"OLFM1"
"NAP5"
"CFHR1"
"KIAA1914"
"DMD"
"GNAL"
"PRDM8"
"C16orf45"
"FLJ23554"
"RAPGEF3"
"KLF9"
"ABCG2"
"suid=1418172"
"SEMA6D"
"TNFSF12"
"ZNF781"
"MAB21L1"
"ADAM33"
"MXRA7"
"KLHDC1"
"RAI2"
"STX12"
"BCL6B"
"C9orf61"
"AKAP2"
"MAST4"
"KA21"
"PIK3R1"
"WBP4"
"SEL1L2"
"suid=1583561"
"FAT2"
"NOVA1"
"KBTBD11"
"KIAA1881"
"FLJ39639"
"MFAP4"
"ABCC9"
"BCL2L2"
"TMEM16A"
"ARHGEF4"
"SCN3A"
"ATF3"
"CMTM7"
"WDR22"
"AD031"
"KCTD12"
"C10orf128"
"PRKAA1"
"TNN"
"KLHL21"
"FLJ37440"
"ATP2A2"
"suid=1440727"
"PLIN"
"DOCK9"
"TESC"
"suid=1424372"
"CNTN3"
"AmbionSpike8_1800_d_15_1"
"EST_AA447504"
"RCBTB2"
"CFD"
"EST_AI732258"
"CDH23"
"suid=1406177"
"SATB1"
"TJP2"
"EST_AI668663"
"FREM1"
"APOLD1"
"LOC92482"
"TIMP3"
"USP30"
"CAV2"
"ANKRD29"
"MPDZ"
"RARRES2"
"IGF1"
"SDPR"
"SFRP1"
"LGR6"
"ACADSB"
"SNX19"
"CAMTA1"
"PPP2R1B"
"ZNF395"
"STC2"
"VAPA"
"suid=1438582"
"ARHGEF6"
"CRY2"
"suid=1486798"
"DYNC1I1"
"RRP15"
"SAP18"
"C9orf5"
"EPB49"
"EST_AA149050"
"USP25"
"CNTNAP3"
"KLK10"
"FLJ10159"
"C6orf145"
"TAS2R41"
"suid=1413494"
"TBX18"
"suid=1436226"
"VIM"
"NIPSNAP3B"
"KRT23"
"IL1R1"
"DCN"
"EYA2"
"ROCK2"
"MAFF"
"ECM2"
"FLJ14959"
"RAB3IL1"
"NR4A2"
"CAV1"
"ABHD14B"
"ZFP36L1"
"ANKS1A"
"L3MBTL4"
"CXorf6"
"C9orf28"
"FOXO1A"
"MME"
"XLKD1"
"CFH"
"MET"
"GPM6B"
"DHRS8"
"ADRB2"
"KIAA1545"
"PPP1R12B"
"IL6"
"KCTD10"
"REV3L"
"PRNP"
"EDG2"
"LOXL4"
"FBLN2"
"CSRP1"
"RARB"
"suid=1409775"
"GEM"
"MYBPC1"
"LGR4"
"ALDH1A2"
"LOC90393"
"GABARAPL1"
"PNPLA2"
"SNHG5"
"STEAP4"
"CRTAP"
"RNASE4"
"EDNRB"
"suid=1433437"
"SNTB2"
"ZNF447"
"ADD3"
"RP11-535K18.3"
"PDGFA"
"C9orf58"
"LOC284542"
"DRCTNNB1A"
"MYO9A"
"SOSTDC1"
"KRT222P"
"KLF11"
"EPM2A"
"LOC283658"
"PDE3B"
"TRIM2"
"KCNJ8"
"FAM129A"
"C19orf18"
"EHHADH"
"RPL4"
"suid=1407470"
"RGMA"
"CCL13"
"DSC3"
"HAS3"
"GARNL1"
"SEMA3D"
"empty"
"PI16"
"RPL15"
"RPIB9"
"CD36"
"PPP1R14A"
"C10orf32"
"F3"
"SLC19A3"
"SLC24A1"
"HSPA12A"
"KCND1"
"SLC16A2"
"TUB"
"SPNS2"
"CITED1"
"ETV1"
"CD34"
"NPY5R"
"PAFAH1B1"
"RAPGEF2"
"WDR23"
"STXBP1"
"SEC15L2"
"SOX18"
"CRIM1"
"KIAA1706"
"MPPED2"
"AKR1C1"
"PTGIS"
"GAB2"
"ADM"
"STARD8"
"IRX1"
"GLT8D2"
